Order Number,Order Date,Year,Month,Month Number,Day of Week,Day Type,Season,Customer ID,Customer Name,Age Group,Gender,City,State,Membership Tier,Mall Name,Store Name,Product Category,Floor Level,Items Purchased,Unit Price ($),Subtotal ($),Discount (%),Discount Amount ($),Tax Rate (%),Tax Amount ($),Total Amount ($),Payment Method,Promo Used,Promo Code,Visit Purpose,Visit Duration (mins),Parking Type,Satisfaction Score,Returned Item,Return Reason,Online Review Posted,Loyalty Points Earned
ORD-2023-01883,9/20/2023,2023,September,9,Wednesday,Weekday,Fall,CUST25251,Dorothy Nguyen,25-34,Female,Columbus,OH,Platinum,Westfield Grand,Crate & Barrel,Home & Living,1st,4,257.37,1029.48,20,205.9,8.3,68.36,891.94,Gift Card,No,,Leisure,93,Paid,3,No,,No,2406
ORD-2024-01884,12/1/2022,2022,December,12,Thursday,Weekday,Winter,CUST31504,Mark Anderson,45-54,Male,Jacksonville,FL,Gold,Blue Harbor Center,Spencer's,Books & Gifts,1st,4,87.86,351.44,0,0,6.6,23.2,374.64,Credit Card,No,,Dining,188,Free,5,No,,No,855
ORD-2022-01885,6/28/2023,2023,June,6,Wednesday,Weekday,Summer,CUST62058,Mary Lewis,35-44,Male,Houston,TX,Silver,The Royal Galleria,Sony Center,Electronics,2nd,4,79.4,317.6,10,31.76,8.55,24.44,310.28,Mobile Pay,No,,Leisure,155,Paid,2,No,,No,1033
ORD-2023-01886,7/3/2023,2023,July,7,Monday,Weekday,Summer,CUST42814,Jessica Lewis,25-34,Male,Jacksonville,FL,Gold,Eastgate Mall,KFC,Food & Beverage,1st,4,233.94,935.76,10,93.58,5.47,46.07,888.25,Credit Card,No,,Gift Buying,82,Free,3,Yes,Changed mind,No,2883
ORD-2024-01887,8/11/2023,2023,August,8,Friday,Weekday,Summer,CUST43467,Donald Wilson,25-34,Female,New York,NY,Silver,Blue Harbor Center,Timezone,Entertainment,1st,8,443.48,3547.84,20,709.57,10.13,287.52,3125.79,Cash,No,,Shopping,86,Paid,5,No,,No,14844
ORD-2022-01888,3/22/2024,2024,March,3,Friday,Weekday,Spring,CUST62746,Elizabeth Sanchez,25-34,Female,San Jose,CA,Bronze,Summit Crossing,Justice,Kids,2nd,11,364.45,4008.95,0,0,11.08,444.19,4453.14,Gift Card,Yes,PROMO660,Gift Buying,83,Free,3,No,,No,20307
ORD-2023-01889,1/21/2022,2022,January,1,Friday,Weekday,Winter,CUST18982,Amanda Taylor,55-64,Female,Charlotte,NC,Silver,Westfield Grand,Justice,Kids,Ground,10,23.68,236.8,25,59.2,5.91,10.5,188.1,Cash,No,,Window Shopping,221,Free,5,No,,No,472
ORD-2024-01890,7/25/2024,2024,July,7,Thursday,Weekday,Summer,CUST44328,Richard Garcia,35-44,Female,Columbus,OH,Gold,Eastgate Mall,Skechers,Sports,Ground,12,51.38,616.56,0,0,8.16,50.31,666.87,Debit Card,No,,Dining,165,Free,5,No,,No,2737
ORD-2022-01891,4/16/2023,2023,April,4,Sunday,Weekend,Spring,CUST47516,Jennifer Sanchez,45-54,Female,Austin,TX,Silver,Sunrise Mall,L'Occitane,Beauty,2nd,5,292.41,1462.05,15,219.31,6.38,79.29,1322.03,Buy Now Pay Later,Yes,PROMO845,Window Shopping,157,Free,5,No,,No,4683
ORD-2023-01892,7/31/2022,2022,July,7,Sunday,Weekend,Summer,CUST85974,Susan Nelson,35-44,Male,Philadelphia,PA,Bronze,Summit Crossing,Disney Store,Kids,Food Court,12,254.41,3052.92,0,0,11.53,352,3404.92,Credit Card,No,,Dining,116,Free,4,No,,No,9854
ORD-2024-01893,11/13/2022,2022,November,11,Sunday,Weekend,Fall,CUST30953,James Walker,25-34,Female,San Jose,CA,Silver,The Royal Galleria,The Children's Place,Kids,Ground,12,344.43,4133.16,10,413.32,5.5,204.59,3924.43,Cash,No,,Leisure,22,Paid,3,Yes,Wrong item,Yes,13493
ORD-2022-01894,11/5/2023,2023,November,11,Sunday,Weekend,Fall,CUST34095,Donna Martinez,18-24,Male,Fort Worth,TX,Platinum,Westfield Grand,Hallmark,Books & Gifts,Food Court,11,477.72,5254.92,0,0,7.98,419.34,5674.26,Cash,No,,Dining,166,Free,4,No,,No,23293
ORD-2023-01895,9/8/2023,2023,September,9,Friday,Weekday,Fall,CUST54651,Amanda Garcia,25-34,Female,Columbus,OH,Silver,Sunrise Mall,The Children's Place,Kids,2nd,11,416.57,4582.27,20,916.45,6.12,224.35,3890.17,Credit Card,Yes,PROMO603,Leisure,114,Free,4,Yes,,Yes,5095
ORD-2024-01896,1/2/2022,2022,January,1,Sunday,Weekend,Winter,CUST83641,William Williams,45-54,Female,Los Angeles,CA,Bronze,Lakewood Center,Bath & Body Works,Beauty,1st,7,68.44,479.08,10,47.91,7.15,30.83,462,Cash,No,,Window Shopping,62,Paid,3,No,,No,871
ORD-2022-01897,7/29/2024,2024,July,7,Monday,Weekday,Summer,CUST95217,Richard Flores,25-34,Female,Fort Worth,TX,Gold,Eastgate Mall,Pandora,Jewelry,Ground,11,37.8,415.8,0,0,8.9,37.01,452.81,Gift Card,Yes,PROMO522,Shopping,124,Free,4,No,,No,2060
ORD-2023-01898,5/21/2023,2023,May,5,Sunday,Weekend,Spring,CUST45698,Jennifer Allen,45-54,Female,Fort Worth,TX,Silver,Eastgate Mall,Cinnabon,Entertainment,1st,6,243.52,1461.12,10,146.11,8.47,111.38,1426.39,Gift Card,No,,Entertainment,159,Free,3,No,,No,5312
ORD-2024-01899,1/28/2023,2023,January,1,Saturday,Weekend,Winter,CUST34917,Kenneth Hernandez,25-34,Non-binary,Dallas,TX,Platinum,The Royal Galleria,Cinnabon,Entertainment,3rd,7,23.58,165.06,0,0,6.87,11.34,176.4,Credit Card,No,,Dining,104,Valet,5,No,,Yes,298
ORD-2022-01900,5/27/2022,2022,May,5,Friday,Weekday,Spring,CUST63875,Donald Campbell,45-54,Male,Houston,TX,Bronze,Westfield Grand,Pandora,Jewelry,1st,3,296.6,889.8,0,0,10.84,96.45,986.25,Gift Card,Yes,PROMO260,Leisure,22,Paid,4,No,,No,1024
ORD-2023-01901,9/4/2022,2022,September,9,Sunday,Weekend,Fall,CUST87802,Michael Flores,25-34,Female,Fort Worth,TX,Silver,Eastgate Mall,Calvin Klein,Fashion,3rd,1,433.98,433.98,20,86.8,10.22,35.48,382.66,Debit Card,No,,Gift Buying,217,Paid,3,Yes,Defective,Yes,1282
ORD-2024-01902,5/16/2022,2022,May,5,Monday,Weekday,Spring,CUST72230,Nancy Lee,25-34,Female,Philadelphia,PA,Silver,Lakewood Center,Kay Jewelers,Jewelry,1st,7,110.03,770.21,0,0,5.5,42.36,812.57,Credit Card,Yes,PROMO449,Leisure,185,Paid,4,No,,No,1834
ORD-2022-01903,8/5/2023,2023,August,8,Saturday,Weekend,Summer,CUST13759,James Roberts,25-34,Female,San Antonio,TX,Gold,Southshore Pavilion,Apple Store,Electronics,Ground,7,414.88,2904.16,5,145.21,11.82,326.11,3085.06,Buy Now Pay Later,No,,Shopping,183,Paid,4,No,,No,6686
ORD-2023-01904,7/7/2022,2022,July,7,Thursday,Weekday,Summer,CUST60733,Joseph Carter,25-34,Female,Houston,TX,Platinum,The Royal Galleria,Disney Store,Kids,Ground,8,167.43,1339.44,5,66.97,10.54,134.12,1406.59,Cash,Yes,PROMO284,Window Shopping,216,Free,1,No,,No,4359
ORD-2024-01905,6/10/2024,2024,June,6,Monday,Weekday,Summer,CUST99850,Patricia Wright,25-34,Female,Jacksonville,FL,Bronze,Eastgate Mall,Spencer's,Books & Gifts,Ground,8,380.11,3040.88,10,304.09,5.25,143.68,2880.47,Credit Card,Yes,PROMO413,Entertainment,178,Free,1,No,,No,12120
ORD-2022-01906,5/9/2023,2023,May,5,Tuesday,Weekday,Spring,CUST95846,William Hernandez,35-44,Female,Columbus,OH,Gold,Westfield Grand,Virtual Reality Zone,Entertainment,1st,10,108.1,1081,0,0,9.53,103.02,1184.02,Cash,Yes,PROMO302,Entertainment,70,Paid,5,Yes,Defective,No,5121
ORD-2023-01907,3/25/2022,2022,March,3,Friday,Weekday,Spring,CUST83009,Anthony Carter,18-24,Male,San Antonio,TX,Silver,Summit Crossing,Dave & Busters,Entertainment,Food Court,4,33.41,133.64,15,20.05,11.59,13.17,126.76,Cash,No,,Window Shopping,236,Free,4,No,,No,153
ORD-2024-01908,7/21/2024,2024,July,7,Sunday,Weekend,Summer,CUST96039,Nancy Nguyen,18-24,Female,San Jose,CA,Gold,Lakewood Center,Timezone,Entertainment,Food Court,4,372.97,1491.88,15,223.78,5.93,75.2,1343.3,Gift Card,No,,Window Shopping,137,Free,3,Yes,Wrong item,No,5690
ORD-2022-01909,11/17/2023,2023,November,11,Friday,Weekday,Fall,CUST91864,William Wright,45-54,Female,Charlotte,NC,Platinum,Westfield Grand,LUSH,Beauty,1st,5,451.57,2257.85,0,0,11.48,259.2,2517.05,Gift Card,No,,Dining,111,Free,5,No,,No,7419
ORD-2023-01910,11/2/2024,2024,November,11,Saturday,Weekend,Fall,CUST72774,James King,25-34,Female,Columbus,OH,Silver,Southshore Pavilion,Spencer's,Books & Gifts,Ground,4,284.6,1138.4,0,0,11.68,132.97,1271.37,Credit Card,No,,Gift Buying,192,Free,3,No,,No,2702
ORD-2024-01911,1/17/2023,2023,January,1,Tuesday,Weekday,Winter,CUST45742,Nancy Martin,25-34,Male,Chicago,IL,Silver,Lakewood Center,AMC Theaters,Entertainment,Food Court,3,242.81,728.43,5,36.42,5.43,37.58,729.59,Cash,No,,Entertainment,132,Free,5,No,,No,3274
ORD-2022-01912,6/2/2023,2023,June,6,Friday,Weekday,Summer,CUST83249,Andrew Hernandez,18-24,Female,San Diego,CA,Diamond,Pinnacle Plaza,Pandora,Jewelry,2nd,1,118.05,118.05,5,5.9,11.65,13.07,125.22,Gift Card,No,,Leisure,44,Free,5,Yes,Changed mind,No,304
ORD-2023-01913,3/18/2023,2023,March,3,Saturday,Weekend,Spring,CUST72671,Donald Flores,25-34,Male,San Antonio,TX,Gold,Summit Crossing,Hallmark,Books & Gifts,3rd,5,387.73,1938.65,20,387.73,10.7,165.95,1716.87,Credit Card,Yes,PROMO516,Window Shopping,214,Paid,4,No,,No,4540
ORD-2024-01914,4/9/2023,2023,April,4,Sunday,Weekend,Spring,CUST41691,Andrew Davis,45-54,Male,Fort Worth,TX,Bronze,Pinnacle Plaza,The Children's Place,Kids,2nd,4,75.49,301.96,20,60.39,5.91,14.28,255.85,Buy Now Pay Later,No,,Gift Buying,147,Paid,4,Yes,Changed mind,No,718
ORD-2022-01915,9/1/2023,2023,September,9,Friday,Weekday,Fall,CUST47652,Carol Perez,18-24,Male,San Jose,CA,Bronze,The Royal Galleria,MAC Cosmetics,Beauty,Food Court,2,328.11,656.22,5,32.81,5.34,33.29,656.7,Gift Card,No,,Leisure,23,Paid,5,No,,No,1086
ORD-2023-01916,11/30/2022,2022,November,11,Wednesday,Weekday,Fall,CUST13392,Anthony Lee,55-64,Male,Columbus,OH,Bronze,Pinnacle Plaza,Uniqlo,Fashion,1st,6,202.7,1216.2,5,60.81,7.93,91.62,1247.01,Credit Card,Yes,PROMO904,Shopping,35,Free,4,No,,No,5983
ORD-2024-01917,10/4/2023,2023,October,10,Wednesday,Weekday,Fall,CUST29056,Sarah Hall,25-34,Non-binary,Jacksonville,FL,Silver,Northpark Mall,Cinnabon,Entertainment,Ground,9,211.54,1903.86,20,380.77,9.56,145.61,1668.7,Debit Card,No,,Window Shopping,129,Free,5,No,,No,3264
ORD-2022-01918,9/29/2023,2023,September,9,Friday,Weekday,Fall,CUST52006,Sarah Taylor,25-34,Female,Dallas,TX,Silver,Sunrise Mall,Starbucks,Food & Beverage,Ground,7,46.57,325.99,25,81.5,10.02,24.5,268.99,Debit Card,No,,Gift Buying,230,Free,5,No,,No,352
ORD-2023-01919,9/24/2024,2024,September,9,Tuesday,Weekday,Fall,CUST28422,Mark White,25-34,Female,Austin,TX,Bronze,Blue Harbor Center,New Balance,Sports,1st,11,499.59,5495.49,5,274.77,11.25,587.33,5808.05,Cash,No,,Entertainment,124,Paid,5,No,,Yes,22940
ORD-2024-01920,6/11/2024,2024,June,6,Tuesday,Weekday,Summer,CUST77241,Joshua Carter,65+,Male,Los Angeles,CA,Gold,Westfield Grand,Bath & Body Works,Beauty,Ground,12,492.9,5914.8,25,1478.7,5.8,257.29,4693.39,Cash,No,,Leisure,68,Free,5,No,,No,16513
ORD-2022-01921,12/27/2024,2024,December,12,Friday,Weekday,Winter,CUST42513,Paul Garcia,25-34,Female,Jacksonville,FL,Platinum,Lakewood Center,Pandora,Jewelry,3rd,9,145.44,1308.96,15,196.34,10.57,117.6,1230.22,Credit Card,No,,Dining,204,Free,5,No,,No,2791
ORD-2023-01922,10/11/2022,2022,October,10,Tuesday,Weekday,Fall,CUST45315,Daniel Roberts,18-24,Male,Austin,TX,Silver,Summit Crossing,Sephora,Beauty,Ground,6,43.65,261.9,0,0,9.32,24.41,286.31,Buy Now Pay Later,No,,Leisure,180,Paid,4,Yes,Changed mind,No,559
ORD-2024-01923,12/31/2024,2024,December,12,Tuesday,Weekday,Winter,CUST42802,Ronald Hill,35-44,Female,Houston,TX,Bronze,The Royal Galleria,The Body Shop,Beauty,Food Court,3,275.79,827.37,15,124.11,6.78,47.68,750.94,Credit Card,No,,Shopping,164,Paid,5,No,,No,894
ORD-2022-01924,1/31/2022,2022,January,1,Monday,Weekday,Winter,CUST45594,Robert Thomas,45-54,Female,New York,NY,Gold,Southshore Pavilion,Pottery Barn,Home & Living,Food Court,11,108.54,1193.94,0,0,9.36,111.75,1305.69,Mobile Pay,No,,Dining,21,Free,5,No,,No,6490
ORD-2023-01925,9/10/2023,2023,September,9,Sunday,Weekend,Fall,CUST68008,Matthew Campbell,35-44,Female,San Antonio,TX,Silver,Summit Crossing,Spencer's,Books & Gifts,1st,4,417.98,1671.92,20,334.38,9.16,122.52,1460.06,Gift Card,No,,Gift Buying,212,Paid,4,Yes,,Yes,5909
ORD-2024-01926,1/18/2023,2023,January,1,Wednesday,Weekday,Winter,CUST76812,Steven Lopez,35-44,Female,Philadelphia,PA,Bronze,Southshore Pavilion,Disney Store,Kids,Ground,8,261.62,2092.96,0,0,10.98,229.81,2322.77,Gift Card,No,,Gift Buying,158,Paid,4,No,,No,9345
ORD-2022-01927,7/12/2024,2024,July,7,Friday,Weekday,Summer,CUST98986,Brian Lee,18-24,Male,Chicago,IL,Gold,Eastgate Mall,Bath & Body Works,Beauty,3rd,11,236.54,2601.94,25,650.49,11.39,222.27,2173.72,Mobile Pay,No,,Shopping,151,Free,5,No,,No,6974
ORD-2023-01928,9/21/2024,2024,September,9,Saturday,Weekend,Fall,CUST16159,Betty Nguyen,45-54,Male,Phoenix,AZ,Platinum,Westfield Grand,Pottery Barn,Home & Living,3rd,5,108.04,540.2,0,0,7.79,42.08,582.28,Cash,No,,Gift Buying,79,Free,4,No,,Yes,2503
ORD-2024-01929,9/5/2024,2024,September,9,Thursday,Weekday,Fall,CUST80964,Steven Garcia,18-24,Male,San Jose,CA,Gold,Sunrise Mall,New Balance,Sports,3rd,12,337.97,4055.64,0,0,6.27,254.29,4309.93,Debit Card,No,,Window Shopping,140,Free,5,No,,Yes,8665
ORD-2022-01930,3/14/2024,2024,March,3,Thursday,Weekday,Spring,CUST74056,John Johnson,18-24,Male,San Diego,CA,Gold,The Royal Galleria,Tiffany & Co.,Jewelry,Ground,4,176.55,706.2,5,35.31,7.94,53.27,724.16,Debit Card,No,,Leisure,196,Paid,1,No,,No,2611
ORD-2023-01931,12/10/2024,2024,December,12,Tuesday,Weekday,Winter,CUST16127,William Torres,18-24,Female,Philadelphia,PA,Bronze,Sunrise Mall,Adidas,Sports,2nd,8,151.13,1209.04,20,241.81,7.68,74.28,1041.51,Mobile Pay,No,,Leisure,193,Free,4,No,,Yes,3805
ORD-2024-01932,3/11/2023,2023,March,3,Saturday,Weekend,Spring,CUST46801,Deborah Taylor,18-24,Male,Columbus,OH,Silver,Eastgate Mall,Pizza Hut,Food & Beverage,Ground,1,193.49,193.49,20,38.7,5.43,8.41,163.2,Mobile Pay,No,,Leisure,75,Free,4,No,,No,240
ORD-2022-01933,2/22/2022,2022,February,2,Tuesday,Weekday,Winter,CUST16093,Andrew Campbell,18-24,Male,San Jose,CA,Gold,Lakewood Center,Gymboree,Kids,3rd,11,52.04,572.44,0,0,7.41,42.42,614.86,Mobile Pay,No,,Entertainment,134,Free,4,No,,No,1721
ORD-2023-01934,4/6/2023,2023,April,4,Thursday,Weekday,Spring,CUST46635,Emily Carter,25-34,Male,Austin,TX,Platinum,Summit Crossing,Tiffany & Co.,Jewelry,1st,10,488.7,4887,20,977.4,5.15,201.34,4110.94,Gift Card,Yes,PROMO944,Gift Buying,198,Paid,4,No,,No,18139
ORD-2024-01935,3/30/2022,2022,March,3,Wednesday,Weekday,Spring,CUST44676,Susan Gonzalez,45-54,Male,Philadelphia,PA,Platinum,The Royal Galleria,Disney Store,Kids,1st,1,135.55,135.55,20,27.11,6.22,6.74,115.18,Mobile Pay,No,,Shopping,15,Free,1,No,,No,489
ORD-2022-01936,8/19/2023,2023,August,8,Saturday,Weekend,Summer,CUST20573,David Perez,55-64,Female,Dallas,TX,Bronze,Pinnacle Plaza,Bose,Electronics,3rd,3,411,1233,15,184.95,5.37,56.28,1104.33,Cash,Yes,PROMO497,Gift Buying,56,Paid,2,No,,No,3507
ORD-2023-01937,6/13/2023,2023,June,6,Tuesday,Weekday,Summer,CUST66261,George Allen,35-44,Female,Charlotte,NC,Platinum,Northpark Mall,Disney Store,Kids,Ground,2,58.12,116.24,20,23.25,8.51,7.91,100.9,Cash,No,,Entertainment,194,Valet,5,Yes,Changed mind,No,141
ORD-2024-01938,11/23/2024,2024,November,11,Saturday,Weekend,Fall,CUST69490,Michael Nelson,25-34,Female,Dallas,TX,Diamond,Southshore Pavilion,Apple Store,Electronics,Ground,7,487.22,3410.54,25,852.63,5.9,150.92,2708.83,Cash,No,,Dining,122,Free,4,No,,Yes,6988
ORD-2022-01939,7/16/2023,2023,July,7,Sunday,Weekend,Summer,CUST55864,Steven Thomas,45-54,Female,Phoenix,AZ,Platinum,Sunrise Mall,Kay Jewelers,Jewelry,2nd,5,216.73,1083.65,10,108.36,6.34,61.83,1037.12,Mobile Pay,No,,Entertainment,62,Paid,4,No,,No,3919
ORD-2023-01940,3/29/2023,2023,March,3,Wednesday,Weekday,Spring,CUST14457,Kevin Harris,35-44,Male,San Antonio,TX,Bronze,Sunrise Mall,Things Remembered,Books & Gifts,Ground,3,487.21,1461.63,15,219.24,9.6,119.27,1361.66,Buy Now Pay Later,No,,Shopping,40,Paid,4,No,,No,3757
ORD-2024-01941,7/19/2022,2022,July,7,Tuesday,Weekday,Summer,CUST95262,Joseph Brown,45-54,Female,Chicago,IL,Silver,Pinnacle Plaza,Spencer's,Books & Gifts,3rd,8,79.72,637.76,15,95.66,7.93,42.99,585.09,Buy Now Pay Later,No,,Shopping,107,Paid,4,No,,No,1123
ORD-2022-01942,7/7/2022,2022,July,7,Thursday,Weekday,Summer,CUST66938,Stephanie Johnson,18-24,Female,Austin,TX,Bronze,Southshore Pavilion,Swarovski,Jewelry,1st,12,383.15,4597.8,0,0,10.04,461.62,5059.42,Buy Now Pay Later,No,,Window Shopping,116,Valet,2,No,,Yes,12170
ORD-2023-01943,6/23/2023,2023,June,6,Friday,Weekday,Summer,CUST52170,Mark Thomas,25-34,Male,Houston,TX,Silver,Southshore Pavilion,Puma,Sports,Ground,1,347.73,347.73,25,86.93,8.49,22.14,282.94,Gift Card,No,,Leisure,208,Paid,5,No,,No,763
ORD-2024-01944,10/2/2024,2024,October,10,Wednesday,Weekday,Fall,CUST75506,Mark Jackson,35-44,Female,San Jose,CA,Silver,Westfield Grand,MAC Cosmetics,Beauty,Ground,10,321.94,3219.4,0,0,8.7,280.09,3499.49,Buy Now Pay Later,No,,Entertainment,148,Paid,4,No,,Yes,12906
ORD-2022-01945,10/2/2023,2023,October,10,Monday,Weekday,Fall,CUST28331,Barbara Harris,45-54,Female,Fort Worth,TX,Silver,Northpark Mall,Crate & Barrel,Home & Living,Ground,4,115.51,462.04,25,115.51,6.31,21.87,368.4,Gift Card,No,,Shopping,48,Valet,5,No,,No,378
ORD-2023-01946,6/1/2023,2023,June,6,Thursday,Weekday,Summer,CUST26915,Melissa Lopez,25-34,Female,Philadelphia,PA,Silver,Eastgate Mall,The Body Shop,Beauty,Ground,10,203.55,2035.5,20,407.1,11.58,188.57,1816.97,Credit Card,Yes,PROMO206,Window Shopping,166,Paid,3,No,,No,5838
ORD-2024-01947,3/1/2022,2022,March,3,Tuesday,Weekday,Spring,CUST99515,Donald Taylor,25-34,Male,Philadelphia,PA,Silver,Westfield Grand,IKEA,Home & Living,Ground,9,477.72,4299.48,10,429.95,7.94,307.24,4176.77,Gift Card,No,,Window Shopping,147,Free,4,No,,Yes,13128
ORD-2022-01948,8/10/2023,2023,August,8,Thursday,Weekday,Summer,CUST26619,Thomas White,18-24,Female,Charlotte,NC,Bronze,Blue Harbor Center,Build-A-Bear,Kids,Ground,9,270.69,2436.21,5,121.81,5.11,118.27,2432.67,Debit Card,No,,Entertainment,221,Free,3,No,,No,4982
ORD-2023-01949,8/12/2022,2022,August,8,Friday,Weekday,Summer,CUST39148,Stephanie Robinson,18-24,Female,Austin,TX,Gold,The Royal Galleria,H&M,Fashion,3rd,11,341.85,3760.35,0,0,6.19,232.77,3993.12,Gift Card,No,,Gift Buying,224,Paid,5,No,,No,4124
ORD-2024-01950,5/31/2022,2022,May,5,Tuesday,Weekday,Spring,CUST60485,Michael Lee,18-24,Female,Jacksonville,FL,Gold,Lakewood Center,Panda Express,Food & Beverage,1st,6,101.34,608.04,20,121.61,5.03,24.47,510.9,Gift Card,No,,Shopping,189,Free,4,No,,No,1853
ORD-2022-01951,11/24/2022,2022,November,11,Thursday,Weekday,Fall,CUST90965,Michael Hill,55-64,Male,Phoenix,AZ,Platinum,Eastgate Mall,Starbucks,Food & Beverage,Food Court,6,280.14,1680.84,0,0,6.08,102.2,1783.04,Gift Card,No,,Dining,133,Paid,4,No,,No,5525
ORD-2023-01952,2/28/2024,2024,February,2,Wednesday,Weekday,Winter,CUST82669,Robert Smith,55-64,Female,San Antonio,TX,Bronze,Blue Harbor Center,Williams-Sonoma,Home & Living,Ground,10,274.16,2741.6,15,411.24,5.84,136.09,2466.45,Gift Card,Yes,PROMO440,Gift Buying,145,Free,1,No,,No,12056
ORD-2024-01953,11/25/2022,2022,November,11,Friday,Weekday,Fall,CUST18049,Sandra Jones,55-64,Female,New York,NY,Diamond,Pinnacle Plaza,Starbucks,Food & Beverage,1st,9,35.95,323.55,20,64.71,9,23.3,282.14,Debit Card,No,,Dining,67,Free,5,No,,No,360
ORD-2022-01954,5/2/2022,2022,May,5,Monday,Weekday,Spring,CUST91218,Edward Rodriguez,35-44,Female,San Diego,CA,Gold,Blue Harbor Center,AMC Theaters,Entertainment,3rd,12,299.2,3590.4,20,718.08,11.53,331.18,3203.5,Buy Now Pay Later,No,,Gift Buying,119,Free,3,No,,No,5769
ORD-2023-01955,9/25/2024,2024,September,9,Wednesday,Weekday,Fall,CUST16948,Joshua Garcia,45-54,Male,Philadelphia,PA,Gold,Summit Crossing,L'Occitane,Beauty,2nd,12,118.7,1424.4,0,0,7.54,107.4,1531.8,Gift Card,No,,Gift Buying,104,Free,4,No,,No,5500
ORD-2024-01956,6/9/2024,2024,June,6,Sunday,Weekend,Summer,CUST57930,Donna Young,25-34,Female,Philadelphia,PA,Bronze,Summit Crossing,Apple Store,Electronics,2nd,12,319.94,3839.28,10,383.93,5.6,193.5,3648.85,Buy Now Pay Later,Yes,PROMO538,Gift Buying,168,Free,5,Yes,,No,13166
ORD-2022-01957,11/6/2024,2024,November,11,Wednesday,Weekday,Fall,CUST20600,Thomas Wright,55-64,Male,Philadelphia,PA,Platinum,The Royal Galleria,Barnes & Noble,Books & Gifts,Ground,9,476.43,4287.87,30,1286.36,8.31,249.43,3250.94,Debit Card,No,,Gift Buying,86,Paid,4,No,,No,3824
ORD-2023-01958,11/24/2024,2024,November,11,Sunday,Weekend,Fall,CUST96086,Mary Young,35-44,Female,Columbus,OH,Bronze,Northpark Mall,Kay Jewelers,Jewelry,2nd,1,414.98,414.98,10,41.5,9.63,35.97,409.45,Cash,No,,Window Shopping,220,Valet,1,No,,No,2037
ORD-2024-01959,9/21/2022,2022,September,9,Wednesday,Weekday,Fall,CUST75564,Kevin Clark,35-44,Prefer not to say,Columbus,OH,Bronze,Summit Crossing,Crate & Barrel,Home & Living,Ground,12,275.88,3310.56,5,165.53,9.2,289.34,3434.37,Credit Card,Yes,PROMO899,Shopping,41,Paid,4,No,,No,6006
ORD-2022-01960,8/8/2023,2023,August,8,Tuesday,Weekday,Summer,CUST84993,Matthew Davis,35-44,Female,Chicago,IL,Gold,Westfield Grand,AMC Theaters,Entertainment,3rd,7,448.66,3140.62,5,157.03,5.97,178.12,3161.71,Buy Now Pay Later,No,,Entertainment,214,Paid,4,No,,No,13755
ORD-2023-01961,7/27/2024,2024,July,7,Saturday,Weekend,Summer,CUST53686,Andrew Wilson,45-54,Female,Austin,TX,Silver,Westfield Grand,Swarovski,Jewelry,2nd,11,270.62,2976.82,0,0,9.33,277.74,3254.56,Buy Now Pay Later,Yes,PROMO756,Shopping,24,Paid,5,No,,No,9827
ORD-2024-01962,10/3/2022,2022,October,10,Monday,Weekday,Fall,CUST83881,James Lee,25-34,Male,Houston,TX,Silver,Blue Harbor Center,Forever 21,Fashion,1st,6,231.06,1386.36,0,0,10.44,144.74,1531.1,Mobile Pay,No,,Gift Buying,213,Free,5,No,,No,5987
ORD-2022-01963,4/27/2024,2024,April,4,Saturday,Weekend,Spring,CUST13207,Andrew White,25-34,Male,Charlotte,NC,Gold,Eastgate Mall,Gymboree,Kids,Ground,7,382.29,2676.03,0,0,11.77,314.97,2991,Mobile Pay,No,,Gift Buying,57,Free,5,No,,No,5093
ORD-2023-01964,6/27/2023,2023,June,6,Tuesday,Weekday,Summer,CUST76809,Donald Flores,25-34,Male,Phoenix,AZ,Silver,Pinnacle Plaza,Pottery Barn,Home & Living,2nd,10,136.43,1364.3,15,204.65,8.56,99.27,1258.92,Cash,No,,Window Shopping,16,Free,4,No,,No,2326
ORD-2024-01965,11/17/2023,2023,November,11,Friday,Weekday,Fall,CUST94978,Emily Sanchez,25-34,Male,Los Angeles,CA,Bronze,Northpark Mall,Samsung,Electronics,Ground,9,324.24,2918.16,25,729.54,7.55,165.24,2353.86,Gift Card,No,,Entertainment,98,Paid,4,No,,No,11120
ORD-2022-01966,7/31/2024,2024,July,7,Wednesday,Weekday,Summer,CUST59470,James Miller,25-34,Female,Dallas,TX,Silver,Sunrise Mall,AMC Theaters,Entertainment,Food Court,8,150.78,1206.24,20,241.25,7.65,73.82,1038.81,Cash,No,,Gift Buying,174,Free,5,No,,No,1966
ORD-2023-01967,8/21/2024,2024,August,8,Wednesday,Weekday,Summer,CUST72909,Karen Roberts,35-44,Male,Austin,TX,Silver,Pinnacle Plaza,L'Occitane,Beauty,1st,9,268.94,2420.46,0,0,8.54,206.71,2627.17,Credit Card,No,,Window Shopping,176,Free,5,No,,No,10268
ORD-2024-01968,8/23/2023,2023,August,8,Wednesday,Weekday,Summer,CUST31307,Kevin Lee,55-64,Prefer not to say,San Antonio,TX,Gold,Southshore Pavilion,Nike,Sports,1st,12,226.28,2715.36,10,271.54,5.25,128.3,2572.12,Credit Card,No,,Entertainment,64,Paid,5,No,,No,3211
